attack_id,features
297,"through_ball,central_attack"
298,"central_attack,through_ball,fast_break"
299,"through_ball,goal"
300,"through_ball,fast_break"
301,"central_attack,through_ball"
302,"central_attack,through_ball"
303,"central_attack,through_ball"
304,"central_attack,through_ball"
305,"through_ball,fast_break"
306,"central_attack,through_ball"
307,"inside_box_shot,central_attack,through_ball,goal"
308,"central_attack,through_ball,goal"
309,"inside_box_shot,central_attack,through_ball,goal"
310,"through_ball,fast_break"
311,"central_attack,through_ball"
312,"inside_box_shot,central_attack,through_ball,goal"
313,"through_ball,fast_break"
314,"central_attack,through_ball"
315,"central_attack,through_ball,fast_break"
316,"through_ball,fast_break"
317,"central_attack,through_ball"
318,"through_ball,central_attack"
319,"inside_box_shot,central_attack,through_ball,goal"
320,"central_attack,through_ball"
321,"central_attack,through_ball"
322,"through_ball,fast_break"
323,"central_attack,through_ball"
324,"central_attack,through_ball"
325,"through_ball,fast_break"
326,"central_attack,through_ball"
327,"central_attack,through_ball,goal"
328,"central_attack,through_ball"
329,"central_attack,through_ball"
330,"through_ball,central_attack"
331,"central_attack,through_ball"
332,"central_attack,through_ball"
333,"central_attack,through_ball,goal"
334,"central_attack,through_ball,fast_break"
335,"central_attack,through_ball"
336,"central_attack,through_ball"
337,"central_attack,through_ball,goal"
338,"central_attack,through_ball"
339,"central_attack,through_ball"
340,"through_ball,central_attack"
341,"central_attack,through_ball"
342,"central_attack,through_ball"
343,"through_ball,central_attack"
344,"central_attack,through_ball"
345,"central_attack,through_ball"
346,"central_attack,through_ball"
347,"central_attack,through_ball"
348,"through_ball,fast_break"
349,"through_ball,fast_break"
350,"central_attack,through_ball"
351,"central_attack,through_ball,fast_break"
352,"through_ball,central_attack"
353,"central_attack,through_ball"
354,"through_ball,central_attack"
355,"central_attack,through_ball"
356,"central_attack,through_ball"
357,"through_ball,central_attack"
358,"central_attack,through_ball"
359,"central_attack,through_ball"
360,"central_attack,through_ball"
361,"central_attack,through_ball,fast_break"
362,"central_attack,through_ball"
363,"central_attack,through_ball"
364,"central_attack,through_ball"
365,"central_attack,through_ball,goal"
366,"central_attack,through_ball"
367,"central_attack,through_ball"
368,"through_ball,central_attack"
369,"central_attack,through_ball"
370,"central_attack,through_ball"
371,"central_attack,through_ball,fast_break"
372,"central_attack,through_ball"
373,"through_ball,fast_break"
374,"central_attack,through_ball"
375,"central_attack,through_ball"
376,"central_attack,through_ball"
377,"inside_box_shot,central_attack,through_ball,goal"
378,"through_ball,central_attack"
379,"through_ball,fast_break"
380,"central_attack,through_ball"
381,"central_attack,through_ball"
382,"inside_box_shot,central_attack,through_ball,goal"
383,"central_attack,through_ball,fast_break"
384,"central_attack,through_ball,goal"
385,"central_attack,through_ball"
386,"through_ball,fast_break"
387,"through_ball,central_attack"
388,"central_attack,through_ball"
389,"central_attack,through_ball"
390,"central_attack,through_ball"
391,"through_ball,fast_break"
392,"inside_box_shot,central_attack,through_ball,goal"
393,"central_attack,through_ball,fast_break"
394,"inside_box_shot,central_attack,through_ball,goal"
395,"central_attack,through_ball"
396,"central_attack,through_ball"
397,"central_attack,through_ball,fast_break"
398,"central_attack,through_ball,goal"
399,"through_ball,fast_break"
400,"central_attack,through_ball"
401,"central_attack,through_ball"
402,"through_ball,fast_break"
403,"inside_box_shot,central_attack,goal"
404,"central_attack,fast_break"
