attack_id,features
277,"central_attack,through_ball"
278,"central_attack,through_ball"
279,"through_ball,central_attack"
280,"central_attack,through_ball"
281,"central_attack,through_ball,inside_box_shot,fast_break,goal"
282,"central_attack,through_ball"
283,"inside_box_shot,through_ball,central_attack,goal"
284,"central_attack,through_ball,fast_break"
285,"inside_box_shot,central_attack,through_ball,goal"
286,"central_attack,through_ball,goal"
287,"central_attack,through_ball"
288,"central_attack,through_ball"
289,"central_attack,through_ball"
290,"central_attack,through_ball"
291,"central_attack,through_ball,goal"
292,"through_ball,central_attack"
293,"central_attack,through_ball"
294,"central_attack,through_ball,goal"
295,"central_attack,fast_break"
296,"central_attack,through_ball"
297,"central_attack,through_ball"
298,"central_attack,through_ball"
299,"central_attack,through_ball"
300,"central_attack,through_ball,goal"
301,"central_attack,fast_break"
302,"central_attack,through_ball"
303,"central_attack,through_ball"
304,"through_ball,central_attack"
305,"central_attack,through_ball"
306,"central_attack,through_ball"
307,"central_attack,through_ball"
308,"inside_box_shot,central_attack,through_ball,goal"
309,"central_attack,through_ball,fast_break"
310,"central_attack,through_ball"
311,"central_attack,through_ball"
312,"through_ball,fast_break"
313,"central_attack,fast_break"
314,"inside_box_shot,central_attack,through_ball,goal"
315,"central_attack,through_ball,fast_break"
316,"central_attack,through_ball"
317,"inside_box_shot,central_attack,through_ball,goal"
318,"central_attack,through_ball,fast_break"
319,"inside_box_shot,central_attack,through_ball,goal"
320,"central_attack,fast_break"
321,"central_attack,through_ball"
322,"central_attack,through_ball"
323,"central_attack,fast_break,goal"
324,"central_attack,fast_break"
325,"through_ball,fast_break"
326,"central_attack,through_ball,inside_box_shot,fast_break,goal"
327,"central_attack,fast_break"
328,"central_attack,through_ball,goal"
329,"central_attack,through_ball,fast_break"
330,"central_attack,through_ball"
331,"central_attack,through_ball"
332,"central_attack,fast_break"
333,"inside_box_shot,central_attack,through_ball,goal"
334,"central_attack,fast_break"
335,"central_attack,through_ball"
336,"through_ball,central_attack,goal"
337,"central_attack,through_ball"
338,"central_attack,through_ball"
339,"central_attack,through_ball,fast_break"
340,"central_attack,through_ball"
341,"through_ball,central_attack,goal"
342,"through_ball,fast_break"
343,"central_attack,through_ball"
344,"central_attack,through_ball"
345,"central_attack,through_ball,goal"
346,"central_attack,fast_break"
347,"through_ball,central_attack"
348,"inside_box_shot,through_ball,central_attack,goal"
349,"inside_box_shot,central_attack,through_ball,goal"
350,"through_ball,central_attack,goal"
351,"through_ball,fast_break"
352,"central_attack,through_ball"
353,"through_ball,central_attack"
354,"central_attack,through_ball"
355,"through_ball,central_attack,goal"
356,"central_attack,through_ball,goal"
357,"central_attack,fast_break"
358,"central_attack,through_ball"
359,"central_attack,through_ball"
360,"central_attack,fast_break"
